"Language" "Family.x" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "Model" "Congruence_All" "Congruence_VN" "Congruence_VP" "Congruence_V" "Congruence_VProp" "OSV" "SOV" "SVO" "AUCOptimizedCongruence" "LogOSSameSide" "LogCongruence_VN" "Language2" "Family.y" "Genus" "Family" "Together"
"56" "Persian_2.8" "Iranian" 8 15 0.533333333333333 0.866666666666667 915207869 0.98728789731 0.993676173183 0.986720801427 0.992937775789 0.993630387248 5 28 1 0.970588235294118 -0.628608659234875 -0.00634390680928587 "Persian" "Iranian" "Indo_European" "Iranian" 1.50392156862745
"57" "Polish_2.8" "Slavic" 8 15 0.533333333333333 0.533333333333333 686920330 0.356891392133 0.356080621204 0.494269144955 0.36899358155 0.321829889533 2 12 0 1 -0.628608659234875 -1.0325981094322 "Polish" "Slavic" "Indo_European" "Slavic" 1.53333333333333
"58" "Portuguese_2.8" "Latin_Romance" 0 16 0 0.1875 153003277 0.170735418941 0.134302772577 0.645735636525 0.16770852589 0.12261529089 18 8 1 0.962962962962963 -23.0258509299405 -2.0076585302677 "Portuguese" "Latin_Romance" "Indo_European" "Latin_Romance" 0.962962962962963
"59" "Romanian_2.8" "Latin_Romance" 8 15 0.533333333333333 0.733333333333333 167519868 0.44408485026 0.405426996367 0.733779280941 0.449281424074 0.461439953443 0 17 2 0.894736842105263 -0.628608659234875 -0.902814455008235 "Romanian" "Latin_Romance" "Indo_European" "Latin_Romance" 1.4280701754386
"60" "Russian_2.8" "Slavic" 6 15 0.4 0.466666666666667 232844791 0.358531411154 0.382358245273 0.590522596463 0.356730724897 0.345142802704 4 0 21 0.16 -0.916290731624155 -0.961397294736847 "Russian" "Slavic" "Indo_European" "Slavic" 0.56
"61" "Sanskrit_2.8" "Indic" 4 15 0.266666666666667 0.4 690939483 0.68790331311 0.690430063713 0.826147908646 0.745223569722 0.999961112623 2 5 9 0.4375 -1.32175583960732 -0.370440594661286 "Sanskrit" "Indic" "Indo_European" "Indic" 0.704166666666667
"62" "Scottish_Gaelic_2.8" "Celtic" 9 15 0.6 0.733333333333333 642735083 0.616900381975 0.997600951625 0.89671043565 0.964037664866 1 18 3 5 0.807692307692308 -0.510825623599324 -0.00240193060213034 "Scottish Gaelic" "Celtic" "Indo_European" "Celtic" 1.40769230769231
"63" "Serbian_2.8" "Slavic" 1 15 0.0666666666666667 0.466666666666667 437604901 0.294830160241 0.276293240668 0.62470197945 0.302488546576 0.303621892508 5 12 1 0.944444444444444 -2.70805019960221 -1.28629251073238 "Serbian" "Slavic" "Indo_European" "Slavic" 1.01111111111111
"64" "Slovak_2.8" "Slavic" 3 15 0.2 0.6 509538063 0.427607135613 0.434846325838 0.613505940926 0.435008274027 0.439175612848 11 9 5 0.8 -1.6094379119341 -0.832762584015056 "Slovak" "Slavic" "Indo_European" "Slavic" 1
"65" "Slovenian_2.8" "Slavic" 7 15 0.466666666666667 0.733333333333333 596117111 0.459024595246 0.412821323359 0.777191429936 0.463298085973 0.453633080408 4 11 1 0.9375 -0.76214005183261 -0.88474041048271 "Slovenian" "Slavic" "Indo_European" "Slavic" 1.40416666666667
